Foodweb,Full_name,Source_Brose,Source_Gilbert,Source_EcoBase,Source_GlobalWeb,Citation,Notes,Habitat,Latitude,Longitude,AbsLat,Nodes,Links,Link_Density,Generality,Norm_Gen,Vulnerability,Norm_Vul,Fraction_Basal,Fraction_Intermediate,Fraction_Top,Mean_Food_Chain,Modularity,MinLat,MaxLat,MinLon,MaxLon
Aegean_Sea,Aegean Sea,no,no,yes,no,Keramidas et al. 2022,Greece + Turkey Open ocean,marine,37.910465,25.22417,37.910465,44,311,7.068181818,7.585365854,1.073170732,7.974358974,1.128205128,0.068181818,0.818181818,0.113636364,5.1895,0.210570689,41.14006,34.68087,22.5297,27.91864
Alaska__Prince_William_Sound,"Alaska, Prince William Sound",no,no,yes,no,"Dalsgaard J.,Pauly D.,Okey T.A.(1997). Preliminary mass-balance model of Prince William Sound, Alaska, for the pre-spill period, 1980-1989 Fisheries Centre Research Reports",United States of America bay/fjord,marine,60.610665,-147.1362,60.610665,19,62,3.263157895,3.875,1.1875,3.647058824,1.117647059,0.157894737,0.736842105,0.105263158,5.005,0.23582206,61.38863,59.8327,-148.9176,-145.3548
Albatross_Bay,Albatross Bay,no,no,yes,no,"Okey T.A.(2006). A trophodynamic ecosystem model of Albatross Bay, Gulf of Carpentaria: revealing a plausible fishing explanation for prawn catch declines CSIRO Marine and Atmospheric Research Paper",Australia bay/fjord,marine,-12.6,141.55,12.6,99,1192,12.04040404,14.02352941,1.164705882,13.39325843,1.112359551,0.141414141,0.757575758,0.101010101,6.357,0.21008019,-12.2,-13,141.1,142
Aleutian_Islands,Aleutian Islands,no,no,yes,no,"Guacnette S.,Heymans S.J.J.,Christensen V.,Trites A.W.(2006). Ecosystem models show combined effects of fishing, predation, competition, and ocean productivity on Steller sea lions (Eumetopias jubatus) in Alaska Canadian Journal of Fisheries and Aquatic Sciences. pp 2495-2517",United States of America continental shelf,marine,52,180,52,40,352,8.8,10.05714286,1.142857143,9.263157895,1.052631579,0.1,0.825,0.05,5.7325,0.130388913,54,50,170,190
Alto_Golfo_de_California,Alto Golfo de California,no,no,yes,no,"Morales-ZÃÂ¡rate M.V.,ArreguÃÂ±n-SÃÂ¡nchez F.,LÃÂ³pez-MartÃÂ±nez J.,Lluch-Cota S.E.(2004). Ecosystem trophic structure and energy flux in the Northern Gulf of California, MÃÂ©xico Ecological Modelling. pp 331-345",Mexico continental shelf,marine,30.747465,-113.8676,30.747465,29,249,8.586206897,9.576923077,1.115384615,8.586206897,1,0.103448276,0.862068966,0.034482759,6.6595,0.175639588,32.01904,29.47589,-115.3311,-112.4041
Alvarado Lagoon,Laguna Alvarado - Mexico,no,yes,no,no,"Cruz-Escalona, V.H., Arrequin-Sanchez, F., and Zetina-Rejon. (2007). Analysis of the ecosystem structure of Laguna Alvarado, western Gulf of Mexico, by means of a mass balance model. Estuarine, Coastal and Shelf Science. 72, pp. 155-167.",Laguna Alvarado - Mexico,marine,18.7782003,-95.8238216,18.7782003,30,229,7.633333333,8.481481481,1.111111111,7.633333333,1,0.1,0.866666667,0.033333333,8.0205,0.13941156,,,,
Andaman_Sea,Andaman Sea (West of South Thailand),no,no,no,yes,Ostergaard et al (2005),inshore,marine,8.4,97.88333333,8.4,5,4,0.8,1,1.25,4,5,0.2,0,0.8,2,0,,,,
Antarctic,Antarctic,no,no,yes,no,"Hoover C.(2009). Ecosystem effects of climate change in the Antarctic Peninsula Ecopath 25 years conference proceedings: Extended abstracts. pp 96-97. In Palomares M.L.,Morissette L.,Cisneros-Montemayor A.,Varkey D.,Coll M.,Piroddi C.",Antarctica open ocean,marine,-64.98429,-60.01274,64.98429,61,691,11.32786885,12.7962963,1.12962963,12.12280702,1.070175439,0.081967213,0.852459016,0.032786885,6.392,0.185296782,-59.97746,-69.99112,-70.02641,-49.99907
Antarctic_Peninsula,Antarctic Peninsula,no,no,no,yes,"Kellermann, A. (1987)",Seasonal Pack Ice Zone,marine,-63,-58,63,34,46,1.352941176,15.33333333,11.33333333,1.393939394,1.03030303,0.911764706,0.058823529,0.029411765,2.837,0.323960302,,,,
Apalachicola_Bay,Apalachicola Bay,no,no,yes,no,"Kira L. Allen, Kristy A. Lewis,Future impacts of reduced freshwater inflow and sea level rise on forage fish and their predators in Apalachicola Bay, Florida,Food Webs,Volume 41,2024,e00372,ISSN 2352-2496.",United States Estuary,marine,29.73841325,-84.98632222,29.73841325,52,628,12.07692308,12.56,1.04,12.07692308,1,0.038461538,0.961538462,0,10.488,0.097445806,29.7983,29.67966,-85.04087,-84.93238
Arachania,Arachania,no,no,yes,no,"Lercari D.,Bergamino L.,Defeo O.(2010). Trophic models in sandy beaches with contrasting morphodynamics: comparing ecosystem structure and biomass flow Ecological Modelling. pp 2751-2759",Uruguay beach,marine,-34.63077761,-54.12736035,34.63077761,9,21,2.333333333,3,1.285714286,2.625,1.125,0.222222222,0.666666667,0.111111111,3.5105,0.12585034,-34.59432,-34.6514,-54.1552,-54.1222
Arctic,Kongsfjorden,yes,no,no,no,Eklof et al. 2013,Arctic Shelf Area,marine,79.039185,11.645279,79.039185,263,1593,6.057034221,7.208144796,1.190045249,6.372,1.052,0.159695817,0.790874525,0.049429658,8.264734175,0.495626241,,,,
Atlantic_Ocean,Atlantic Ocean,no,no,no,yes,Scharf et al. (2000),Pelagic,marine,40,-71,40,20,36,1.8,2,1.111111111,18,10,0.1,0,0.9,2,0,,,,
Australia_North_West_Shelf,Australia North West Shelf,no,no,yes,no,Bulman C.(2006). Trophic webs and modelling of Australia's North West Shelf NWSJEMS Technical Report,Australia continental shelf,marine,-19.5,116.65,19.5,37,334,9.027027027,10.12121212,1.121212121,10.12121212,1.121212121,0.108108108,0.783783784,0.108108108,6.9955,0.176801525,-18,-21,113.8,119.5
Azores,Azores,no,no,yes,no,"Morato et al., 2016",Portugal Open ocean,marine,37.816595,-28.11696,37.816595,45,406,9.022222222,9.666666667,1.071428571,9.022222222,1,0.066666667,0.933333333,0,8.4765,0.163448776,43.1129,32.52029,-35.65401,-20.57991
Baie_de_Seine,Baie de Seine,no,no,yes,no,"Halouani, G., Villanueva, C.-M., Raoux, A., Dauvin, J.C., Ben Rais Lasram, F., Foucher, E., Le LocÃ¢ÂÂh, F., Safi, G., Araignous, E., Robin, J.P., Niquil, N., 2020. A spatial food web model to investigate potential spillover effects of a fishery closure in an offshore wind farm. Journal of Marine Systems 212, 103434. https://doi.org/10.1016/j.jmarsys.2020.103434",France Estuary,marine,49.7,-0.565,49.7,42,333,7.928571429,8.538461538,1.076923077,9.514285714,1.2,0.071428571,0.761904762,0.166666667,5.3845,0.178947903,50.2,49.2,-1.3,0.17
Baja_California,Baja California,no,no,yes,no,"Cisneros-Montemayor A.M.,Christensen V.,ArreguÃÂ­n-SÃÂ¡nchez F.,Sumaila R.U.(2012). Ecosystem models for management advice: An analysis of recreational and commercial fisheries policies in Baja California Sur, Mexico Ecological Modelling. pp 8-16",Mexico continental shelf,marine,25.332815,-116.64755,25.332815,18,114,6.333333333,7.125,1.125,6.705882353,1.058823529,0.055555556,0.833333333,0.055555556,6.285,0.105661157,32.53302,18.13261,-128.5102,-104.7849
Bamboung,Bamboung,no,no,yes,no,"Collacter M.,Gascuel D.,Ecoutin J.-M.,Tito de Morais L.(2012). Modelling trophic flows in ecosystems to assess the efficiency of marine protected area (MPA), a case study on the coast of Senegal Ecological Modelling. pp 1-13",Senegal coastal lagoon,marine,13.73143887,-16.61867512,13.73143887,31,303,9.774193548,10.82142857,1.107142857,10.1,1.033333333,0.096774194,0.838709677,0.064516129,5.356,0.063659489,13.83899,13.74424,-16.56726,-16.49705
Barents_Sea,Barents Sea,no,no,yes,no,"Blanchard J.L.,Pinnegar J.K.,Mackinson S.(2002). Exploring Marine Mammal-Fishery Interactions Using 'Ecopath with Ecosim': Modelling the Barents Sea Ecosystem Science Series Technical Report",Russian Federation continental shelf,marine,73.430185,42.833685,73.430185,41,295,7.195121951,8.194444444,1.138888889,7.972972973,1.108108108,0.12195122,0.780487805,0.097560976,6.2835,0.228649082,81.00499,65.85538,16.73359,68.93378
Barnegat_Bay,Barnegat Bay,no,no,yes,no,"Vasslides, J.M., Townsend, H., Belton, T., Jensen, O.P., 2016. Modeling the effects of a power plant",United States Estuary,marine,39.77164656,-74.16369953,39.77164656,27,109,4.037037037,4.739130435,1.173913043,4.739130435,1.173913043,0.148148148,0.703703704,0.148148148,4.4435,0.204401986,40.06,39.5,-74.34,-74.09
