Parasite.species,Location,Latitude,Longitude,Habitat
Corynosoma semerme,Finland,61.92410999999999,25.7481511,marine
Moniliformis moniliformis,Nevada,38.8026097,-116.419389,terrestrial
Corynosoma semerme,Sea of Okhotsk,52.87362299999999,149.3658173,marine
Corynosoma strumosum,Sea of Okhotsk,52.87362299999999,149.3658173,marine
Bolbosoma nipponicum,Sea of Okhotsk,52.87362299999999,149.3658173,marine
Neoechinorhynchus rutili,"England, Wales + Isle of Man",54.236107,-4.548056,freshwater
Echinorhynchus truttae,Eire + N. Ireland,54.7877149,-6.4923145,freshwater
Acanthocephalus lucii,"England, Wales + Isle of Man",54.236107,-4.548056,freshwater
Acanthocephalus clavula,"England, Wales + Isle of Man",54.236107,-4.548056,freshwater
Echinorhynchus truttae,Channel Islands,49.4466698,-2.342378,freshwater
Neoechinorhynchus rutili,Scotland,56.49067119999999,-4.2026458,freshwater
Acanthocephalus lucii,Scotland,56.49067119999999,-4.2026458,freshwater
Moniliformis moniliformis,Malaya,3.17,101.7,terrestrial
Polymorphus marilis,Alberta,53.9332706,-116.5765035,freshwater
Dollfusentis chandleri,Gulf of Mexico,25.304304,-90.065918,marine
Acanthocephalus anguillae,Germany,51.165691,10.451526,freshwater
Pomphorhynchus laevis,Germany,51.165691,10.451526,freshwater
Acanthocephalus lucii,Germany,51.165691,10.451526,freshwater
Echinorhynchus truttae,Germany,51.165691,10.451526,freshwater
Pomphorhynchus bulbocolli,Manitoba,53.7608608,-98.8138762,freshwater
Leptorhynchoides thecatus,Wisconsin,43.7844397,-88.7878678,freshwater
Acanthocephalus lucii,Denmark,56.26392,9.501785,freshwater
Acanthocephalus anguillae,Denmark,56.26392,9.501785,freshwater
Acanthocephalus ranae,Sweden,60.12816100000001,18.643501,freshwater
Neoechinorhynchus rutili,Baltic Sea,58.48795200000001,19.863281,freshwater
Pomphorhynchus laevis,Denmark,56.26392,9.501785,freshwater
Acanthocephalus dirus,Wisconsin,43.7844397,-88.7878678,freshwater
Neoechinorhynchus cylindratus,Wisconsin,43.7844397,-88.7878678,freshwater
Neoechinorhynchus cylindratus,Montana,46.8796822,-110.3625658,freshwater
Pomphorhynchus bulbocolli,Wisconsin,43.7844397,-88.7878678,freshwater
Pomphorhynchus laevis,"England, Wales + Isle of Man",54.236107,-4.548056,freshwater
Acanthocephalus anguillae,"England, Wales + Isle of Man",54.236107,-4.548056,freshwater
Acanthocephalus clavula,Italy,41.87194,12.56738,freshwater
Corynosoma strumosum,Caspian Sea,41.934977,50.66894500000001,marine
Corynosoma semerme,Lithuania,55.169438,23.881275,marine
Corynosoma strumosum,Lithuania,55.169438,23.881275,marine
Pomphorhynchus laevis,Lithuania,55.169438,23.881275,freshwater
Echinorhynchus gadi,Lithuania,55.169438,23.881275,marine
Acanthocephalus lucii,Lithuania,55.169438,23.881275,freshwater
Acanthocephalus anguillae,Lithuania,55.169438,23.881275,freshwater
Neoechinorhynchus rutili,Lithuania,55.169438,23.881275,freshwater
Pomphorhynchus laevis,North Sea,56.511018,3.515625,freshwater
Pomphorhynchus laevis,Eire + N. Ireland,54.7877149,-6.4923145,freshwater
Acanthocephalus anguillae,Eire + N. Ireland,54.7877149,-6.4923145,freshwater
Profilicollis botulus,British Columbia,53.7266683,-127.6476205,marine
Leptorhynchoides thecatus,Nebraska,41.4925374,-99.9018131,freshwater
