Citation,Habitat,meanLat,meanLon,meanNodes,meanLinks,meanLinkDensity,meanGenerality,meanNormGen,meanVulnerability,meanNormVul,meanFracBasal,meanFracInt,meanFracTop,meanMeanFoodChain,meanModularity
"A.G. Hildrew, C.R. Townsend, and A. Hasham. (1985). The predatory Chironomidae of an iron-rich stream: feeding ecology and food web structure. Ecological Entomology, 10, 403-413.",freshwater,43.0298603,-81.3020201,24,91,3.791666667,4.55,1.2,4.55,1.2,0.166666667,0.666666667,0.166666667,3.9615,0.126373626
"Abarca-Arenas L.G.,Valero-Pacheco E.(1993). Toward a Trophic Model of Tamiahua, a Coastal Lagoon in Mexico . pp 181-185. In Christensen V.,Pauly D.",marine,21.67053,-97.5776,13,56,4.307692308,5.090909091,1.181818182,5.6,1.3,0.153846154,0.615384615,0.230769231,3.6655,0.065688776
"Ainsworth C.,Heymans J.J.,Pitcher T.J.,Vasconcellos M.(2002). Ecosystem Models of Northern British Columbia for the Time Periods 2000, 1950, 1900 and 1750 Fisheries Centre Research Reports",marine,50.506085,-131.1475,53,435,8.20754717,8.87755102,1.081632653,8.87755102,1.081632653,0.075471698,0.849056604,0.075471698,7.248,0.173709767
"Ainsworth C.H.,Sumaila R.U.(2005). Intergenerational valuation of fisheries resources can justify long-term conservation: a case study in Atlantic cod (Gadus morhua) Canadian Journal of Fisheries and Aquatic Sciences. pp 1104-1110",marine,42.992,-51,50,562,11.24,11.70833333,1.041666667,12.2173913,1.086956522,0.04,0.88,0.08,6.2205,0.14857449
"Alcorlo, P., Baltanas, A. and Montes, C. (2001). Food-web structure in two shallow salt lakes in Los Monegros (NE Spain): energetic vs dynamic constraints. Hydrobiologia. 466, pp. 307-316.",marine,0.061152272,-80.09707098,15,38,2.533333333,3.454545455,1.363636364,2.923076923,1.153846154,0.266666667,0.6,0.133333333,3.0995,0.218836565
"Aliao P.M. et al. (1993). Initial parameter estimations of a coral reef flat ecosystem in Bolinao, Pangasinan, Northwestern Philippines . pp 252-258. In Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.",marine,16.20967865,119.7701174,26,108,4.153846154,5.142857143,1.238095238,4.695652174,1.130434783,0.192307692,0.692307692,0.115384615,6.125,0.189117973
"Angelini R.,Agostinho A.A.(2005). Food web model of the Upper ParanÃÂÃÂ¡ River Floodplain: description and aggregation effects Ecological Modelling. pp 109-121",freshwater,-24,-54,40,185,4.625,5.138888889,1.111111111,4.625,1,0.1,0.875,0.025,7.0495,0.219058642
"Angelini, R., Agostinho, A.A. (2005). Food web model of the Upper ParanÃÂ´a River Floodplain: description and aggregation effects. Ecological Modelling. 181, pp. 109-121.",freshwater,-10.3333333,-53.2,40,185,4.625,5.138888889,1.111111111,4.625,1,0.1,0.875,0.025,7.937,0.214459877
"Angelini, R., Aloisio, G. R., and Carvalho, A. R. (2010). Mixed food web control and stability in a Cerrado River (Brazil). Pan-American Journal of Aquatic Sciences, 5, pp. 421-431.",freshwater,-18.7952531,-51.6454682,13,34,2.615384615,3.777777778,1.444444444,3.090909091,1.181818182,0.307692308,0.461538462,0.230769231,3.057,0.135380623
"Angelini, R., Gomes, L. C., and Agostinho, A. A. (2006). Modeling energy flow in a Large Neotropical Reservoir: a tool do evaluate fishing and stability. Neotropical Ichthyology, Rio Grande do Sul, 4 (2), pp. 253-260.",freshwater,-25.4246153,-54.5670293,32,139,4.34375,4.964285714,1.142857143,4.483870968,1.032258065,0.125,0.8125,0.0625,4.957,0.208482072
"Angelini, R., Morais, R.J., Cattella, A.C., Resende, E.K., and Libralato, S. (2013). Aquatic food webs of the oxbow lakes in the Pantanal: A new site for fisheries guaranteed by alternated control?. Ecological Modelling, 253, pp. 82-96.",freshwater,-16.971558233333333,-57.04809613333334,39.333333333333336,239.33333333333334,6.085256410333334,6.7140283143333335,1.103217503,6.587837838,1.0825825823333333,0.09337606866666667,0.8303418806666667,0.07628205133333334,4.8213333333333335,0.17798572466666668
Arajo J.N.et al. (2005). An Ecopath model of the western English Channel ecosystem with an exploration of its dynamic properties Science Series Technical Report,marine,49.5,-3.99999995,52,424,8.153846154,8.653061224,1.06122449,8.833333333,1.083333333,0.057692308,0.807692308,0.134615385,5.555,0.185762472
"Arbach Leloup F.,Desroy N.,Le Mao P.,Pauly D.,Le Pape O.(2008). Interactions between a natural food web, shellfish farming and exotic species: the case of the Bay of Mont Saint Michel (France) Estuarine, Coastal and Shelf Science. pp 111-120",marine,48.75,-1.65,24,68,2.833333333,3.578947368,1.263157895,4,1.411764706,0.208333333,0.5,0.291666667,3.814,0.286656574
"Arreguain-Sanchez F.et al. (1993). An application of ECOPATH II to the North Continental Shelf Ecosystem of Yucatan, Mexico . pp 269-278. In Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.",marine,21.907545,-88.44186,21,111,5.285714286,6.166666667,1.166666667,5.842105263,1.105263158,0.142857143,0.761904762,0.095238095,5.51,0.139173554
"Arreguain-Sanchez F.et al. (2002). Flows of biomass and structure in an exploited benthic ecosystem in the Gulf of California, Mexico Ecological Modelling. pp 167-183",marine,27.705745,-110.66875,27,153,5.666666667,6.375,1.125,6.375,1.125,0.111111111,0.777777778,0.111111111,4.912,0.216649927
"Arreguain-Sanchez F.et al.(1993). A trophic box model of the coastal fish communities of the southwestern Gulf of Mexico . pp 197-205. In Christensen V.,Pauly D.,Christensen V.,Pauly D.,Christensen V.,Pauly D.",marine,20.342265,-95.95445,24,129,5.375,6.142857143,1.142857143,5.608695652,1.043478261,0.125,0.833333333,0.041666667,5.7905,0.144732889
"Aulio, K., Jumppanen, K., Molsa, H., Nevalainen, J., Rajasilta, M. and Vuorinen, I. (1981). Litoraalin merkitys Pyhajarven kalatuotannolle, Sakylan Pyhajarven Tila Ja Biologinen Tuotanto (Lounais-Suomen Vesiensuojeluyhdistys R. Y., Turku, Finland) 47:173-176.",freshwater,63.6393291,26.0417095,25,67,2.68,3.19047619,1.19047619,3.35,1.25,0.16,0.64,0.2,3.449,0.264535531
"Aydin K.Y.,Lapko V.V.,Radchenko V.I.,Livingston P.A.(2002). A comparison of the eastern Bering and western Bering Sea shelf and slope ecosystems through the use of mass-balance food web models NOAA Technical Memorandum",marine,61.3712,176.348,36,238,6.611111111,7.4375,1.125,7.4375,1.125,0.111111111,0.777777778,0.111111111,5.4195,0.231264364
"B.A. Menge and J.P. Sutherland. Species Diversity Gradients: Synthesis of the Roles of Predation, Competition, and Temporal Heterogeneity. The American Naturalist, 110(973), pp. 351-369.",marine,26.672574374999996,21.924272304999995,9.75,17.75,1.67019230775,2.375,1.4666666667500001,1.98214285725,1.18912337675,0.3091346155,0.5326923075,0.158173077,3.15375,0.189141027
"B.A. Menge, J. Lubchenco, S.D. Gaines, and L.R. Ashkenas. (1986). A test of the Menge-Sutherland model of community organization in a tropical rocky intertidal food web. Oecologia, 71, pp. 75-89.",marine,55.05257518,-1.4338076,27,62,2.296296296,2.48,1.08,2.952380952,1.285714286,0.074074074,0.703703704,0.222222222,3.803,0.277315297
