Location,Latitude,Longitude,state,country,Quality check,revised Lat,revised Long,CoordinateCleaner location,CC location rationale
Freshwater & Terrestrial - no area specified,39.0591238,-94.595049,Missouri,United States,drop,,,,
Freshwater & Terrestrial - all records,39.0591238,-94.595049,Missouri,United States,drop,,,,
Eastern & Central Europe,36.6390832,-95.156675,Oklahoma,United States,error,48.66,19.50,Slovakia,Slovakia is central in Fig. 1 of Dobek-Ostrowska 2015
Labrador,39.0859892,-94.590457,Missouri,United States,error,48.66,-56.22,Newfoundland and Labrador,Includes location
Antilles,30.2876491,-97.766374,Texas,United States,error,18.53,-72.33,Port au Prince,Port au Prince Haiti is central Antilles
Dominican Republic + Haiti,40.6386212,-73.600509,New York,United States,error,18.53,-72.33,Port au Prince,Port au Prince is capital of Haiti
Spanish Sahara,36.144526,-115.18413,Nevada,United States,error,23.81,-12.89,Western Sahara,Synonym
Transvaal,34.8779101,-92.13367,Arkansas,United States,error,-23.59,29.13,Limpopo,Limpopo is part of Transvaal
Cape Province,42.0562358,-70.216744,Massachusetts,United States,error,-33.50,20.97,Western Cape,Western Cape is part of Cape Province
Malagasay,38.913322,-77.052933,District of Columbia,United States,error,-20.00,47.00,Madagascar,Synonym
Oriental,35.0309956,-76.692987,North Carolina,United States,error,,,,
Indian Region,39.1422777,-94.576865,Missouri,United States,error,22.00,79.00,India,India should logically be a central part of the Indian Region
Kampuchea,37.3548576,-121.84772,California,United States,error,13.00,105.00,Cambodia,Synonym
Malaya,33.8103642,-84.416374,Georgia,United States,error,3.17,101.70,Malaysia,Synonym
Java,36.1908101,-95.889575,Oklahoma,United States,error,-7.29,109.90,Jawa Tengah,Jawa is indigenous synonym and this region is central compared to other two options
Victoria,37.7207958,-97.242897,Kansas,United States,error,-37.01,144.75,Victoria,Confirmed as Victoria Australia by helminth publications
Islands of Atlantic Ocean,32.6119844,-80.023596,South Carolina,United States,error,,,,
Islands of Southern Pacific,47.7066782,-122.34494,Washington,United States,error,,,,
Gilbert & Ellice Islands,33.3528264,-111.78903,Arizona,United States,error,-8.52,179.22,Tuvalu,Now Kiribati & Tuvalu of which latter is much bigger
