parasiteScientificName,Location,Latitude,Longitude
Corynosoma semerme,Finland,61.92410999999999,25.7481511
Moniliformis moniliformis,Nevada,38.8026097,-116.419389
Corynosoma semerme,Sea of Okhotsk,52.87362299999999,149.3658173
Corynosoma strumosum,Sea of Okhotsk,52.87362299999999,149.3658173
Bolbosoma nipponicum,Sea of Okhotsk,52.87362299999999,149.3658173
Neoechinorhynchus rutili,"England, Wales + Isle of Man",54.236107,-4.548056
Echinorhynchus truttae,Eire + N. Ireland,54.7877149,-6.4923145
Acanthocephalus lucii,"England, Wales + Isle of Man",54.236107,-4.548056
Acanthocephalus clavula,"England, Wales + Isle of Man",54.236107,-4.548056
Echinorhynchus truttae,Channel Islands,49.4466698,-2.342378
Neoechinorhynchus rutili,Scotland,56.49067119999999,-4.2026458
Acanthocephalus lucii,Scotland,56.49067119999999,-4.2026458
Moniliformis moniliformis,Malaya,3.17,101.7
Polymorphus marilis,Alberta,53.9332706,-116.5765035
Dollfusentis chandleri,Gulf of Mexico,25.304304,-90.065918
Acanthocephalus anguillae,Germany,51.165691,10.451526
Pomphorhynchus laevis,Germany,51.165691,10.451526
Acanthocephalus lucii,Germany,51.165691,10.451526
Echinorhynchus truttae,Germany,51.165691,10.451526
Pomphorhynchus bulbocolli,Manitoba,53.7608608,-98.8138762
Leptorhynchoides thecatus,Wisconsin,43.7844397,-88.7878678
Acanthocephalus lucii,Denmark,56.26392,9.501785
Acanthocephalus anguillae,Denmark,56.26392,9.501785
Acanthocephalus ranae,Sweden,60.12816100000001,18.643501
Neoechinorhynchus rutili,Baltic Sea,58.48795200000001,19.863281
Pomphorhynchus laevis,Denmark,56.26392,9.501785
Acanthocephalus dirus,Wisconsin,43.7844397,-88.7878678
Neoechinorhynchus cylindratus,Wisconsin,43.7844397,-88.7878678
Neoechinorhynchus cylindratus,Montana,46.8796822,-110.3625658
Pomphorhynchus bulbocolli,Wisconsin,43.7844397,-88.7878678
Pomphorhynchus laevis,"England, Wales + Isle of Man",54.236107,-4.548056
Acanthocephalus anguillae,"England, Wales + Isle of Man",54.236107,-4.548056
Acanthocephalus clavula,Italy,41.87194,12.56738
Corynosoma strumosum,Caspian Sea,41.934977,50.66894500000001
Corynosoma semerme,Lithuania,55.169438,23.881275
Corynosoma strumosum,Lithuania,55.169438,23.881275
Pomphorhynchus laevis,Lithuania,55.169438,23.881275
Echinorhynchus gadi,Lithuania,55.169438,23.881275
Acanthocephalus lucii,Lithuania,55.169438,23.881275
Acanthocephalus anguillae,Lithuania,55.169438,23.881275
Neoechinorhynchus rutili,Lithuania,55.169438,23.881275
Pomphorhynchus laevis,North Sea,56.511018,3.515625
Pomphorhynchus laevis,Eire + N. Ireland,54.7877149,-6.4923145
Acanthocephalus anguillae,Eire + N. Ireland,54.7877149,-6.4923145
Profilicollis botulus,British Columbia,53.7266683,-127.6476205
Leptorhynchoides thecatus,Nebraska,41.4925374,-99.9018131
Pomphorhynchus bulbocolli,Iowa,41.8780025,-93.097702
Leptorhynchoides thecatus,Iowa,41.8780025,-93.097702
Acanthocephalus lucii,Byelorussia,53.709807,27.953389
Echinorhynchus salmonis,Finland,61.92410999999999,25.7481511
Pomphorhynchus laevis,Baltic Sea,58.48795200000001,19.863281
Echinorhynchus gadi,Baltic Sea,58.48795200000001,19.863281
Moniliformis moniliformis,"England, Wales + Isle of Man",54.236107,-4.548056
Moniliformis moniliformis,Florida,27.6648274,-81.5157535
Acanthocephalus lucii,Yugoslavia,37.09024,-95.712891
Acanthocephalus anguillae,Yugoslavia,37.09024,-95.712891
Pomphorhynchus laevis,Yugoslavia,37.09024,-95.712891
Neoechinorhynchus rutili,Germany,51.165691,10.451526
Pomphorhynchus laevis,Mexico,23.634501,-102.552784
Acanthocephalus anguillae,Mexico,23.634501,-102.552784
Acanthocephalus lucii,Finno-Karelian ASSR,63.15587019999999,32.9905552
Neoechinorhynchus rutili,Finland,61.92410999999999,25.7481511
Acanthocephalus lucii,Finland,61.92410999999999,25.7481511
Acanthocephalus anguillae,Finland,61.92410999999999,25.7481511
Echinorhynchus salmonis,Ontario,51.253775,-85.323214
Echinorhynchus gadi,Atlantic Ocean,-14.5994134,-28.6731465
Fessisentis friedi,New Brunswick,46.5653163,-66.46191639999999
Echinorhynchus gadi,New Brunswick,46.5653163,-66.46191639999999
Corynosoma strumosum,British Columbia,53.7266683,-127.6476205
Leptorhynchoides thecatus,Ontario,51.253775,-85.323214
Pomphorhynchus bulbocolli,Ontario,51.253775,-85.323214
Acanthocephalus dirus,Ontario,51.253775,-85.323214
Echinorhynchus salmonis,Alberta,53.9332706,-116.5765035
Echinorhynchus salmonis,Manitoba,53.7608608,-98.8138762
Pomphorhynchus bulbocolli,Alberta,53.9332706,-116.5765035
Echinorhynchus leidyi,Arctic Ocean,65.2481624,-60.4620977
Echinorhynchus leidyi,Ontario,51.253775,-85.323214
Neoechinorhynchus cylindratus,Manitoba,53.7608608,-98.8138762
Neoechinorhynchus rutili,British Columbia,53.7266683,-127.6476205
Pomphorhynchus bulbocolli,British Columbia,53.7266683,-127.6476205
Echinorhynchus leidyi,Manitoba,53.7608608,-98.8138762
Echinorhynchus leidyi,Northwest Territories,64.8255441,-124.8457334
Echinorhynchus salmonis,Northwest Territories,64.8255441,-124.8457334
Echinorhynchus gadi,British Columbia,53.7266683,-127.6476205
