Parasite.species,Chain.length,Host.habitat,Min.lat,Avg.lat,Max.lat,Min.long,Avg.long,Max.long,parasiteKingdom,parasitePhylum,parasiteClass,parasiteOrder,parasiteFamily,parasiteGenus
Abbreviata antarctica,2,terrestrial,-37.01,-30.884461950000002,-25.274398,133.775136,140.413847425,146.921099,Animalia,Nematoda,Chromadorea,Rhabditida,Physalopteridae,Abbreviata
Abbreviata kazachstanica,3,terrestrial,41.377491,41.377491,41.377491,64.585262,64.585262,64.585262,Animalia,Nematoda,Chromadorea,Rhabditida,Physalopteridae,Abbreviata
Abbreviata turkomanica,2,terrestrial,41.377491,41.377491,41.377491,64.585262,64.585262,64.585262,Animalia,Nematoda,Chromadorea,Rhabditida,Physalopteridae,Abbreviata
Acanthobothrium brevissime,2,marine,25.304304,25.304304,25.304304,-90.065918,-90.065918,-90.065918,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium
Acanthobothrium olseni,3,marine,62.4113634,62.4113634,62.4113634,-149.0729714,-149.0729714,-149.0729714,Animalia,Platyhelminthes,Cestoda,Onchoproteocephalidea,Onchobothriidae,Acanthobothrium
Acanthocephalus anguillae,2,freshwater,23.634501,49.81109222272727,63.15587019999999,-102.552784,2.129834368181818,47.576927,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus anthuris,2,freshwater,37.5442706,39.4968062,41.87194,-4.7277528,9.887979733333333,21.824312,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus clavula,2,freshwater,-14.5994134,41.3615730875,63.15587019999999,-77.40677199999999,-7.629373487499999,32.9905552,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus dirus,2,freshwater,23.634501,42.953079463636364,56.130366,-106.346771,-89.14837646363637,-76.64127119999999,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus lucii,2,freshwater,-14.5994134,48.40717918928571,63.15587019999999,-95.712891,5.987349689285715,34.299316,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus ranae,2,freshwater,39.0457549,46.80860881666667,60.12816100000001,-76.64127119999999,11.819210800000002,64.585262,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus tumescens,3,freshwater,-38.416097,-37.045622,-35.675147,-71.542969,-67.5798205,-63.61667199999999,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acuaria anthuris,2,terrestrial,14.058324,39.67700213636363,52.9399159,-85.323214,28.82727481818182,138.252924,Animalia,Nematoda,Chromadorea,Rhabditida,Acuariidae,Acuaria
Acuaria gruveli,2,terrestrial,33.886917,37.91742815,41.377491,-4.7277528,35.1677753,71.276093,Animalia,Nematoda,Chromadorea,Rhabditida,Acuariidae,Acuaria
Acuaria hamulosa,2,terrestrial,7.946527,33.2352821,46.227638,-102.552784,16.2543984,108.277199,Animalia,Nematoda,Chromadorea,Rhabditida,Acuariidae,Acuaria
Acuaria subula,2,terrestrial,48.379433,48.379433,48.379433,31.1655799,31.1655799,31.1655799,Animalia,Nematoda,Chromadorea,Rhabditida,Acuariidae,Acuaria
Aelurostrongylus abstrusus,3,terrestrial,-35.675147,25.74474129090909,61.92410999999999,-95.712891,-0.8319268090909089,133.775136,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Aelurostrongylus
Aelurostrongylus falciformis,2,terrestrial,41.87194,48.0540235,54.236107,-4.548056,4.0096620000000005,12.56738,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Aelurostrongylus
Aelurostrongylus pridhami,3,terrestrial,37.5442706,44.98304566666667,56.130366,-106.346771,-37.428885333333334,-1.2121322,Animalia,Nematoda,Chromadorea,Rhabditida,Metastrongylidae,Aelurostrongylus
Subulura suctoria,2,terrestrial,7.946527,7.946527,7.946527,-1.023194,-1.023194,-1.023194,Animalia,Nematoda,Chromadorea,Rhabditida,Subuluridae,Subulura
Amidostomum acutum,1,freshwater,26.820553,43.88869903571428,53.7608608,-127.6476205,-22.114866142857142,71.276093,Animalia,Nematoda,Chromadorea,Rhabditida,Amidostomidae,Amidostomum
