Parasite.species,Location,Latitude,Longitude,Chain.length,Host.habitat,parasiteKingdom,parasitePhylum,parasiteClass,parasiteOrder,parasiteFamily,parasiteGenus
Corynosoma semerme,Finland,61.92410999999999,25.7481511,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Moniliformis moniliformis,Nevada,38.8026097,-116.419389,2,terrestrial,Animalia,Acanthocephala,Archiacanthocephala,Moniliformida,Moniliformidae,Moniliformis
Corynosoma semerme,Sea of Okhotsk,52.87362299999999,149.3658173,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Corynosoma strumosum,Sea of Okhotsk,52.87362299999999,149.3658173,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma
Bolbosoma nipponicum,Sea of Okhotsk,52.87362299999999,149.3658173,3,marine,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Bolbosoma
Neoechinorhynchus rutili,"England, Wales + Isle of Man",54.236107,-4.548056,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
Echinorhynchus truttae,Eire + N. Ireland,54.7877149,-6.4923145,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Acanthocephalus lucii,"England, Wales + Isle of Man",54.236107,-4.548056,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Acanthocephalus clavula,"England, Wales + Isle of Man",54.236107,-4.548056,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Acanthocephalus
Echinorhynchus truttae,Channel Islands,49.4466698,-2.342378,2,freshwater,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus
Neoechinorhynchus rutili,Scotland,56.49067119999999,-4.2026458,4,freshwater,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,Neoechinorhynchidae,Neoechinorhynchus
